Area_Name,Cases_Property_Stolen,Victims_of_Rape_Total,Auto_Theft_Stolen,Total_Murders,Total_Kidnapp,Population
Andaman & Nicobar Islands,3662,168,166,137,76,380581.0
Andhra Pradesh,642822,21392,113618,27481,17287,84580777.0
Arunachal Pradesh,16632,824,1658,703,682,1383727.0
Assam,245560,25524,22236,12761,20363,31205576.0
Bihar,411840,22526,45754,34675,28180,104099452.0
Chandigarh,39720,456,14842,202,510,1055450.0
Chhattisgarh,199712,19502,33310,10787,2423,25545198.0
Dadra & Nagar Haveli,2642,98,446,87,123,343709.0
Daman & Diu,2056,28,510,53,22,243247.0
Delhi,490694,10342,197330,5396,18217,16787941.0
Goa,19788,540,4404,412,200,1458545.0
Gujarat,534060,6678,158396,12757,12009,60439692.0
Haryana,303336,10018,118926,8793,6426,25351462.0
Himachal Pradesh,34000,2906,4750,1269,1437,6864602.0
Jammu & Kashmir,74906,4456,13088,7339,7533,12541302.0
Jharkhand,176868,15126,26826,15682,5966,32988134.0
Karnataka,494968,7834,134254,16891,7452,61095297.0
Kerala,221652,10616,37480,4208,2371,33406061.0
Lakshadweep,342,14,22,4,1,64473.0
Madhya Pradesh,733524,58514,155380,23694,9582,72626809.0
Maharashtra,1376814,29010,262564,28693,12735,112374333.0
Manipur,11584,546,3388,2204,1618,2855794.0
Meghalaya,16724,1478,2348,1485,558,2966889.0
Mizoram,26892,1292,868,358,85,1097206.0
Nagaland,10814,352,4014,956,396,1978502.0
Odisha,224280,17720,33144,11762,7061,41974218.0
Puducherry,14236,114,7082,303,144,1247953.0
Punjab,151182,8614,35484,8172,6227,27743338.0
Rajasthan,469468,23908,151722,13176,24313,68548437.0
Sikkim,3314,298,142,151,61,610577.0
Tamil Nadu,431864,11098,82306,16876,11514,72147030.0
Tripura,14480,3252,996,1867,1523,3673917.0
Uttar Pradesh,559970,30106,183116,58810,41952,199812341.0
Uttarakhand,41530,2202,10662,2751,2245,10086292.0
West Bengal,372226,32756,58658,16959,16709,91276115.0
